day.frac,min.flux,mean.flux,max.flux
0.502083333,80.01651069,98.48071408,153.1906261
0.502777778,80.03433075,99.25736326,152.946464
0.503472222,80.04769579,100.0239763,158.7247954
0.504166667,79.41062875,100.6520731,147.4460014
0.504861111,78.96512733,101.2759302,142.889849
0.505555556,79.2992534,102.4087678,142.0718262
0.50625,78.40825055,103.2009978,130.3999788
0.506944444,80.30608661,103.7615235,138.1046775
0.507638889,71.50297848,104.2649778,121.2005892
0.508333333,72.39398133,104.7551083,121.7703309
0.509027778,70.10441256,101.6955577,118.2138219
0.509722222,70.10544195,99.20987301,115.324391
0.510416667,77.06729127,96.61725522,125.6580754
0.511111111,72.04968212,93.97906907,109.243955
0.511805556,71.91404951,91.33691056,106.1726345
0.5125,71.77932123,89.98925837,104.6060851
0.513194444,71.39647664,87.95587329,103.980915
0.513888889,73.24800329,86.17412152,115.1484909
0.514583333,69.21442174,84.40129971,104.6145364
0.515277778,69.12102847,83.02473467,104.8643294
0.515972222,66.88143187,81.48082551,105.0958449
0.516666667,66.29171433,80.80272681,105.5223208
0.517361111,67.86730342,79.84388638,105.7903913
0.518055556,58.29024219,79.2241744,106.1803121
0.51875,55.97098295,78.58577367,106.4727527
0.519444444,55.9557774,77.95747574,106.1864046
0.520138889,55.69282642,77.25026808,106.1803121
0.520833333,65.08036297,76.5651329,146.98187
0.521527778,64.50583397,75.88921644,116.5193063
0.522222222,63.93650819,75.2194214,116.5193063
0.522916667,63.43165113,74.62547192,115.7577422
0.523611111,63.2315617,74.39007259,113.4730499
0.524305556,63.04193353,74.16698062,124.5918856
0.525,62.52550743,74.24347888,108.4467269
0.525694444,56.85294441,74.35878967,107.6790703
0.526388889,56.93553295,74.65219986,108.245674
0.527083333,56.53942643,74.34326202,108.4101718
0.527777778,63.06175783,74.19030333,118.4993729
0.528472222,57.02151937,74.03783907,108.6965199
0.529166667,57.35492703,73.83782587,108.8975728
0.529861111,57.4160964,72.59852201,107.0454489
0.530555556,57.16333204,72.3019641,106.0097218
0.53125,61.11143743,71.89580874,126.7242651
0.531944444,60.70531125,71.41801324,104.7912192
0.532638889,60.30739147,70.94987232,104.943532
0.533333333,61.83991064,72.75283605,104.181968
0.534027778,63.20335119,74.35688375,104.2246155
0.534722222,64.79013733,76.22369098,118.1947473
0.535416667,51.7253131,77.87300947,105.0836598
0.536111111,52.72061078,78.97677869,105.4918582
0.536805556,52.71591183,79.85001809,105.7416512
0.5375,51.44254589,80.80511738,106.0706469
0.538194444,61.09115512,81.50329641,106.4483827
0.538888889,58.30531594,82.21238334,106.8504885
0.539583333,57.99199246,82.91927164,107.2891495
0.540277778,56.06124055,83.12258056,107.1977618
0.540972222,56.15207812,82.71480905,107.2465019
0.541666667,69.96006087,82.30595396,151.2466289
0.542361111,69.45354843,81.71005698,132.1223441
0.543055556,68.93151039,81.09589458,132.000736
0.54375,70.43875148,82.86911939,125.7933033
0.544444444,72.37579049,85.14798881,115.1484909
0.545138889,74.2559393,87.35992859,124.7441985
0.545833333,76.1514129,89.58989753,109.2631236
0.546527778,72.1912315,91.85489937,109.5555642
0.547222222,72.48419368,93.76439474,110.1891855
0.547916667,72.18470833,95.3772121,110.8691964
0.548611111,75.20599267,97.09454552,124.4395728
0.549305556,55.54704127,98.8802425,114.941219
0.55,55.69215368,100.6445861,116.9921424
0.550694444,55.84420883,100.4927864,116.8156862
0.551388889,55.6911177,100.5969218,116.9367361
0.552083333,78.25678007,100.5798663,153.1755163
0.552777778,77.53952277,100.2825288,136.9631988
0.553472222,76.77771534,100.5414963,136.379308
0.554166667,76.84899557,102.4016151,136.896822
0.554861111,75.28974058,104.061939,136.1734949
0.555555556,77.74445343,106.2730333,139.0373044
0.55625,70.72335099,108.4803881,126.6058186
0.556944444,70.61197564,110.6932048,129.2146405
0.557638889,69.49822208,112.8122799,131.1362173
0.558333333,68.49584388,114.0247607,132.5456397
0.559027778,73.84186096,115.2025293,141.2215831
0.559722222,65.93421069,116.3666387,135.2679055
0.560416667,66.37971211,117.4968063,136.5816447
0.561111111,66.60246283,119.0892508,138.4327477
0.561805556,65.1545832,120.8852498,140.5204683
0.5625,77.22321676,122.7174471,173.0279925
0.563194444,77.03165115,124.517289,153.9865878
0.563888889,76.8267205,126.3236675,162.9820374
0.564583333,76.95591591,128.6673722,163.27401
0.565277778,76.88018067,129.2391327,163.0231711
0.565972222,76.81335545,129.7258043,164.4307718
0.566666667,76.79108038,130.2349717,151.3888521
0.567361111,76.77771534,130.7459583,151.9828375
0.568055556,76.96928095,130.0424091,151.1650118
0.56875,77.00046605,127.6748271,148.4128669
0.569444444,77.01828611,125.446446,199.4530904
0.570138889,72.05985526,123.6934568,189.156213
0.570833333,73.06223347,121.9398474,189.6242695
0.571527778,72.05985526,118.7183847,189.2015145
0.572222222,70.16647421,115.7213859,188.668143
0.572916667,74.14925694,112.347879,207.147038
0.573611111,68.82996994,108.9540907,143.2215864
0.574305556,68.9413453,105.5610379,143.357665
0.575,68.9413453,106.1716299,143.3576779
0.575694444,68.16171781,108.0580034,142.914225
0.576388889,74.83978415,109.9690639,127.8311818
0.577083333,48.51327997,111.8296481,129.9939781
0.577777778,48.8070687,113.732007,132.2053344
0.578472222,48.41410944,112.9134605,131.2538325
0.579166667,48.2333827,112.0558577,130.2569305
0.579861111,58.0667842,111.2724906,129.3463222
0.580555556,48.91303673,110.4776501,128.422377
0.58125,47.48996391,109.7077549,127.5274288
0.581944444,47.2724806,108.4566112,126.0730636
0.582638889,47.10469178,109.1910093,126.9267489
0.583333333,80.71594792,109.9276419,182.1750111
0.584027778,81.12135422,110.651147,166.0189975
0.584722222,81.52676052,111.3458931,165.9261113
0.585416667,82.32866308,113.2657032,164.2702313
0.586111111,82.82316966,115.2331797,164.2885018
0.586805556,83.28649114,117.1951359,175.6655428
0.5875,83.72753755,118.4679365,164.2336633
0.588194444,84.15967393,119.7428738,166.8590618
0.588888889,84.77001088,120.6986414,166.1028833
0.589583333,85.16650715,121.2401627,166.2944379
